"station_id","name","state","local_authority","latitude","longitude","existing_charger_count","proposed_charger_count","ac_charger_count","dc_charger_count","indoor_outdoor","status","data_as","source_name","source_url","source_record_id","retrieved_at_utc"
"mevnet-211","1 MONT KIARA","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.1657017","101.6531554","2","10","2","0","Indoor","Existing","6-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","211","2026-07-26T09:23:16Z"
"mevnet-768","Lotus's Selayang","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.222542","101.6709396","3","10","2","1","Indoor","Existing","31-Dec-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","768","2026-07-26T09:23:16Z"
"mevnet-770","KL EAST MALL","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.2249959","101.7303488","4","6","4","0","Indoor","Existing","30-Aug-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","770","2026-07-26T09:23:16Z"
"mevnet-783","AEON MALL AU2 Setiawangsa","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.1771854","101.7505579","4","10","2","2","Indoor","Existing","31-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","783","2026-07-26T09:23:16Z"
"mevnet-938","CHERAS LEISUREMALL","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.0909294","101.7431317","2","10","2","0","Indoor","Existing","6-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","938","2026-07-26T09:23:16Z"
"mevnet-948","GREAT EASTERN MALL","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.1602108","101.736936","2","3","0","2","Outdoor","Existing","31-Dec-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","948","2026-07-26T09:23:16Z"
"mevnet-984","AEON MALL TAMAN MALURI","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.1259084","101.7284184","4","7","2","2","Indoor","Existing","31-Dec-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","984","2026-07-26T09:23:16Z"
"mevnet-985","MYTOWN SHOPPING CENTRE","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.1348631","101.7228429","9","8","6","3","Indoor","Existing","1-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","985","2026-07-26T09:23:16Z"
"mevnet-988","PAVILION BUKIT JALIL","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.0502636","101.671016","12","16","6","6","Indoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","988","2026-07-26T09:23:16Z"
"mevnet-990","MID VALLEY MEGAMALL","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.1175356","101.6773968","5","12","3","2","Indoor","Existing","20-May-25","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","990","2026-07-26T09:23:16Z"
"mevnet-772","LOTUS'S RAWANG","SELANGOR","Majlis Perbandaran Selayang","3.3021972","101.5980186","4","10","3","1","Indoor","Existing","31-Dec-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","772","2026-07-26T09:23:16Z"
"mevnet-776","TASIK PUTERI GOLD AND COUNTRY CLUB","SELANGOR","Majlis Perbandaran Selayang","3.2850766","101.4882686","2","4","2","0","Outdoor","Existing","20-May-25","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","776","2026-07-26T09:23:16Z"
"mevnet-782","GAMUDA GARDENS","SELANGOR","Majlis Perbandaran Selayang","3.2836059","101.5399057","4","4","0","4","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","782","2026-07-26T09:23:16Z"
"mevnet-816","SELAYANG CAPITOL KOMPLEKS","SELANGOR","Majlis Perbandaran Selayang","3.2406846","101.6489044","2","2","0","2","Outdoor","Existing","1-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","816","2026-07-26T09:23:16Z"
"mevnet-818","PETRONAS LATAR 1 KUNDANG TIMUR","SELANGOR","Majlis Perbandaran Selayang","3.2709138","101.5069033","3","2","0","3","Outdoor","Existing","15-Mar-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","818","2026-07-26T09:23:16Z"
"mevnet-819","PETRONAS LATAR 1 KUNDANG BARAT","SELANGOR","Majlis Perbandaran Selayang","3.2695307","101.5090625","1","2","0","1","Outdoor","Existing","5-Jul-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","819","2026-07-26T09:23:16Z"
"mevnet-1","AEON MALL TAIPING","PERAK","Majlis Perbandaran Taiping","4.8731511","100.7308056","2","8","0","2","Outdoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","1","2026-07-26T09:23:16Z"
"mevnet-10","FLEMINGTON HOTEL","PERAK","Majlis Perbandaran Taiping","4.8476573","100.7502848","2","2","2","0","Indoor","Existing","1-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","10","2026-07-26T09:23:16Z"
"mevnet-15","AEON KINTA CITY","PERAK","Majlis Bandaraya Ipoh","4.6142838","101.1175449","2","8","0","2","Outdoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","15","2026-07-26T09:23:16Z"
