"pile_id","station_id","label","network","connector_type","power_kw","price_per_kwh","deployment_stage","operational_state","is_synthetic","synthetic_fields","source_name","source_station_record_id","dataset"
"mevnet-1-pile-001","mevnet-1","Bay 01","TNBX (GoToU)","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-002","mevnet-1","Bay 02","TNBX (GoToU)","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-003","mevnet-1","Bay 03","TNBX (GoToU)","CCS2","120","1.5","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-004","mevnet-1","Bay 04","TNBX (GoToU)","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-005","mevnet-1","Bay 05","TNBX (GoToU)","Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-006","mevnet-1","Bay 06","TNBX (GoToU)","CCS2","60","1.35","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-007","mevnet-1","Bay 07","TNBX (GoToU)","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-008","mevnet-1","Bay 08","TNBX (GoToU)","Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-009","mevnet-1","Bay 09","TNBX (GoToU)","CCS2","50","1.2","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-1-pile-010","mevnet-1","Bay 10","TNBX (GoToU)","Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","full"
"mevnet-2-pile-001","mevnet-2","Bay 01",,"Type 2","7","0.75","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","2","full"
"mevnet-2-pile-002","mevnet-2","Bay 02",,"Type 2","11","0.9","proposed","planned","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","2","full"
