station_id,name,state,address,latitude,longitude,brand,indoor_outdoor,local_authority,power_kw,price_per_kwh,pile_label,connector_type,operational_state,source_name,source_url,source_record_id,data_as,source_status,data_type
mevnet-4358,MALL OF MEDINI (MEDINI EV FORECOURT),JOHOR,"MALL OF MEDINI (MEDINI EV FORECOURT), Majlis Bandaraya Iskandar Puteri, JOHOR",1.42978955,103.6328134,Others,Outdoor,Majlis Bandaraya Iskandar Puteri,50,1.20,Bay 01,CCS2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,4358,20-May-25,Existing,simulated_pile_assignment_prototype
mevnet-2357,JOHOR PREMIUM OUTLET,JOHOR,"JOHOR PREMIUM OUTLET, Majlis Perbandaran Kulai, JOHOR",1.6029394,103.6217399,chargEV,Outdoor,Majlis Perbandaran Kulai,50,1.35,Bay 01,CCS2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,2357,20-May-25,Existing,simulated_pile_assignment_prototype
mevnet-2412,SUTERA MALL,JOHOR,"SUTERA MALL, Majlis Bandaraya Iskandar Puteri, JOHOR",1.5176508,103.6715487,ChargeSini,Indoor,Majlis Bandaraya Iskandar Puteri,120,1.20,Bay 01,CCS2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,2412,31-Dec-24,Existing,simulated_pile_assignment_prototype
mevnet-2344,ECO GALLERIA,JOHOR,"ECO GALLERIA, Majlis Bandaraya Iskandar Puteri, JOHOR",1.4413127,103.6167854,chargEV,Indoor & Outdoor,Majlis Bandaraya Iskandar Puteri,50,1.20,Bay 01,CCS2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,2344,20-May-25,Existing,simulated_pile_assignment_prototype
mevnet-2371,KSL CITY MALL,JOHOR,"KSL CITY MALL, Majlis Bandaraya Johor Bahru, JOHOR",1.4855318,103.7629067,ChargeSini,Indoor & Outdoor,Majlis Bandaraya Johor Bahru,50,1.35,Bay 01,CCS2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,2371,31-Dec-24,Existing,simulated_pile_assignment_prototype
mevnet-2411,PARADIGM MALL JOHOR BAHRU,JOHOR,"PARADIGM MALL JOHOR BAHRU, Majlis Bandaraya Johor Bahru, JOHOR",1.5157252,103.6856459,Gentari,Indoor,Majlis Bandaraya Johor Bahru,11,0.90,Bay 01,Type 2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,2411,31-Dec-23,Existing,simulated_pile_assignment_prototype
mevnet-3807,SOUTHERN MARINA RESIDENCE,JOHOR,"SOUTHERN MARINA RESIDENCE, Majlis Bandaraya Iskandar Puteri, JOHOR",1.41401021,103.6583769,ChargeSini,Indoor,Majlis Bandaraya Iskandar Puteri,11,0.90,Bay 01,Type 2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,3807,1-Oct-24,Existing,simulated_pile_assignment_prototype
mevnet-2376,IKEA TEBRAU,JOHOR,"IKEA TEBRAU, Majlis Bandaraya Johor Bahru, JOHOR",1.5522106,103.8003819,Others,Indoor,Majlis Bandaraya Johor Bahru,11,0.90,Bay 01,Type 2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,2376,6-Mar-23,Existing,simulated_pile_assignment_prototype
mevnet-3555,SUNWAY BIG BOX,JOHOR,"SUNWAY BIG BOX, Majlis Bandaraya Iskandar Puteri, JOHOR",1.39722073,103.6287105,Sunway,Outdoor,Majlis Bandaraya Iskandar Puteri,120,1.35,Bay 01,CCS2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,3555,31-Dec-24,Existing,simulated_pile_assignment_prototype
mevnet-4444,TANGKAK PITSTOP,JOHOR,"TANGKAK PITSTOP, Majlis Daerah Tangkak, JOHOR",2.24348428,102.5314665,chargEV,Outdoor,Majlis Daerah Tangkak,50,1.20,Bay 01,CCS2,available,PLANMalaysia MEVnet + ChargeMY simulated pile,https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d,4444,20-May-25,Existing,simulated_pile_assignment_prototype
