"station_id","name","state","local_authority","latitude","longitude","existing_charger_count","proposed_charger_count","ac_charger_count","dc_charger_count","indoor_outdoor","status","data_as","source_name","source_url","source_record_id","retrieved_at_utc"
"mevnet-1","AEON MALL TAIPING","PERAK","Majlis Perbandaran Taiping","4.8731511","100.7308056","2","8","0","2","Outdoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","1","2026-07-26T09:23:16Z"
"mevnet-2","Lotus's Taiping","PERAK","Majlis Perbandaran Taiping","4.865945","100.7301758","0","8","0","0","TM","Newly Proposed","6-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","2","2026-07-26T09:23:16Z"
"mevnet-3","Taiping Municipal Council","PERAK","Majlis Perbandaran Taiping","4.8546404","100.7437868","0","2","0","0","TM","Newly Proposed","6-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3","2026-07-26T09:23:16Z"
"mevnet-4","KFC Taiping Lake Garden DT","PERAK","Majlis Perbandaran Taiping","4.8526337","100.7460001","0","2","0","0","TM","Newly Proposed","6-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","4","2026-07-26T09:23:16Z"
"mevnet-5","Perak Museum","PERAK","Majlis Perbandaran Taiping","4.860418","100.7453769","0","2","0","0","TM","Newly Proposed","6-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","5","2026-07-26T09:23:16Z"
"mevnet-6","Taiping Zoo","PERAK","Majlis Perbandaran Taiping","4.8549951","100.751032","0","2","0","0","TM","Newly Proposed","6-Feb-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","6","2026-07-26T09:23:16Z"
"mevnet-7","Hotel Grand Baron","PERAK","Majlis Perbandaran Taiping","4.8573431","100.7560013","0","2","0","0","TM","Newly Proposed","6-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","7","2026-07-26T09:23:16Z"
"mevnet-8","Hotel Taiping Perdana","PERAK","Majlis Perbandaran Taiping","4.8432382","100.7401131","0","1","0","0","TM","Newly Proposed","2-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","8","2026-07-26T09:23:16Z"
"mevnet-9","KPJ Taiping Medical Centre","PERAK","Majlis Perbandaran Taiping","4.8472381","100.7324681","0","2","0","0","TM","Newly Proposed","6-Mar-23","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","9","2026-07-26T09:23:16Z"
"mevnet-10","FLEMINGTON HOTEL","PERAK","Majlis Perbandaran Taiping","4.8476573","100.7502848","2","2","2","0","Indoor","Existing","1-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","10","2026-07-26T09:23:16Z"
